set_num,set_name,year,theme_id,num_parts,total_part_count,unique_part_count,minifig_count,spare_part_ratio,h_cat,h_col,n_distinct_colors,n_distinct_categories,prop_technic,prop_printed,prop_transparent,rare_part_ratio,minifig_to_part_ratio,has_minifigs,year_window,window_index
30369-1,Beach Buggy,2020,64,45,41.0,24.0,1.0,0.023809523809523808,2.2507048064969224,2.0206198327581326,8.0,12.0,0.0,0.0,0.04878048780487805,0.0,0.024390243902439025,1.0,2020,37
30370-1,Ocean Diver,2020,52,22,17.0,15.0,1.0,0.0,2.425479708432719,2.068513497359536,9.0,12.0,0.058823529411764705,0.058823529411764705,0.0,0.058823529411764705,0.058823529411764705,1.0,2020,37
3037-1,Strata Tub,1998,505,142,142.0,16.0,0.0,0.0,-0.0,1.3829688103693194,4.0,1.0,0.0,0.035211267605633804,0.0,0.02112676056338028,0.0,0.0,1998,15
30371-1,Knight's Cycle,2016,605,42,38.0,19.0,1.0,0.09523809523809523,2.5066618124970015,2.061943316600728,10.0,14.0,0.39473684210526316,0.0,0.15789473684210525,0.0,0.02631578947368421,1.0,2016,33
30372-1,Robin's Mini Fortrex,2016,605,45,41.0,21.0,1.0,0.06818181818181818,2.3435825147497242,1.70948756797639,6.0,13.0,0.024390243902439025,0.0,0.24390243902439024,0.0,0.024390243902439025,1.0,2016,33
30373-1,Knighton Hyper Cannon,2016,605,47,43.0,25.0,1.0,0.0851063829787234,2.293992104895112,1.7878320085844988,7.0,12.0,0.20930232558139536,0.023255813953488372,0.11627906976744186,0.0,0.023255813953488372,1.0,2016,33
30374-1,The Lava Slinger,2016,605,40,36.0,22.0,1.0,0.1,2.5147288262959395,2.0087183891810416,9.0,15.0,0.05555555555555555,0.0,0.19444444444444445,0.0,0.027777777777777776,1.0,2016,33
30375-1,Sira's Adventurous Airglider,2016,600,24,20.0,13.0,1.0,0.13043478260869565,2.0684785316378345,1.7127324378491742,6.0,9.0,0.0,0.1,0.0,0.05,0.05,1.0,2016,33
30376-1,Knighton Rider,2017,605,42,37.0,18.0,1.0,0.02631578947368421,2.378718833899918,2.0181865239692596,9.0,13.0,0.43243243243243246,0.0,0.05405405405405406,0.0,0.02702702702702703,1.0,2017,34
30377-1,Motor Horse,2017,605,52,47.0,30.0,1.0,0.14545454545454545,2.5934126649811873,1.824652541105681,8.0,18.0,0.14893617021276595,0.0,0.1702127659574468,0.0,0.02127659574468085,1.0,2017,34
30378-1,Shrunken Headquarters,2017,605,48,44.0,24.0,1.0,0.06382978723404255,2.423659427841648,1.8805209244616616,10.0,15.0,0.25,0.0,0.06818181818181818,0.0,0.022727272727272728,1.0,2017,34
30379-1,Quake Mech Micro Build,2017,616,64,64.0,27.0,0.0,0.09859154929577464,1.941745911391283,1.363681356222429,7.0,12.0,0.0,0.0,0.03125,0.0,0.0,0.0,2017,34
30380-1,Kylo Ren's Shuttle,2018,158,33,33.0,14.0,0.0,0.10810810810810811,1.729912405491995,0.9779398925081064,3.0,7.0,0.0,0.0,0.12121212121212122,0.0,0.0,0.0,2018,35
3038-1,Spider Slayer,1998,3,368,365.0,70.0,1.0,0.021447721179624665,2.346332425941198,1.321396947880209,11.0,24.0,0.8246575342465754,0.0027397260273972603,0.005479452054794521,0.01643835616438356,0.0027397260273972603,1.0,1998,15
30381-1,Imperial TIE Fighter,2018,158,42,42.0,19.0,0.0,0.0,1.8121886994481244,1.224854342148979,5.0,8.0,0.07142857142857142,0.0,0.023809523809523808,0.0,0.0,0.0,2018,35
30382-1,Baby Velociraptor Playpen,2018,602,48,48.0,25.0,0.0,0.07692307692307693,2.3150188983427262,1.950341064345745,11.0,15.0,0.0,0.0,0.0625,0.020833333333333332,0.0,0.0,2018,35
